student_id,id,title,level,date,module,genre family,discipline,disciplinary group,grade,words,s-units,p-units,tables,figures,block quotes,formulae,lists,listlikes,abstract,w/s,s/p,macrotype,gender,year of birth,L1,education (UKA: all secondary education in UK; Ukn: n years of secondary education in UK; OSA: all secondary education overseas),course,number_of_texts,complex
1,0001a,What is 'Racism' and how do you account for its persistence in modern societies?,1.0,2/1/04,"State, Society and Work",essay,Sociology,SS,D,1549.0,48.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,4.0,simple assignment,f,1985,English,UKA,Sociology,1.0,0
1,0001b,"Explore the limitations and uses of official statistics, using the internal and radical approaches, and conclude should sociologists use official statistics?",1.0,11/1/03,Sociological Imagination and Investigation,essay,Sociology,SS,M,1426.0,46.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,3.5,simple assignment,f,1985,English,UKA,Sociology,1.0,0
1,0001c,"Discuss the implications for women, in gender and class terms, of the rise of medicine as a profession",1.0,1/1/04,"Gender, Class and Empire",essay,Sociology,SS,M,1619.0,56.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.9,4.0,simple assignment,f,1985,English,UKA,Sociology,1.0,0
1,0001d,Why do women have children? Why do some not do so?,2.0,11/1/04,"Transformations: Gender, Reproduction and Contemporary Society",essay,Sociology,SS,D,2225.0,67.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,3.7,simple assignment,f,1985,English,UKA,Sociology,1.0,0
1,0001e,What groups and individuals are most at risk from unemployment and what explains their vulnerability?,2.0,2/1/05,Social Welfare in Britain,essay,Sociology,SS,M,2308.0,69.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,3.6,simple assignment,f,1985,English,UKA,Sociology,1.0,0
2,0002a,Consider how Victorian notions of women's madness affected the lives of women in class specific ways,1.0,1/1/05,"Gender, Class and Empire",essay,Sociology,SS,D,1990.0,51.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,5.7,simple assignment,f,1986,English,UKA,Sociology,1.0,0
2,0002b,Outline the social and political factors that led to the development of feminism in Japan,1.0,3/1/05,Births of Feminisms,essay,Sociology,SS,D,1741.0,44.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,5.5,simple assignment,f,1986,English,UKA,Sociology,1.0,0
3,0003c,In what way and to what extent was consumption significant in establishing class and gender identity in the Victorian period?,1.0,11/1/04,"Gender, Class and Empire",essay,Sociology,SS,M,1605.0,56.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,4.7,simple assignment,m,1984,Dutch,OSA,History/Sociology,1.0,0
3,0003d,Can Pi?sudski's coup d'etat be justified?,2.0,11/1/05,Eastern Europe Since 1918,essay,History,AH,M,2201.0,53.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,4.8,simple assignment,m,1984,Dutch,OSA,History,1.0,0
3,0003e,Was the communisation of Eastern Europe a foregone conclusion in May 1945?,2.0,1/1/06,Eastern Europe Since 1918,essay,History,AH,M,2200.0,46.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.8,3.1,simple assignment,m,1984,Dutch,OSA,History,1.0,0
