,A01.pastVerbs,A03.presVerbs,B04.placeAdverbials,B05.timeAdverbials,C06.1persProns,C07.2persProns,C08.3persProns,C09.impersProns,C10.demonstrProns,C11.indefProns,C12.doAsProVerb,D13.whQuestions,E14.nominalizations,E16.Nouns,F18.BYpassives,G19.beAsMain,H23.WHclauses,H25.presPartClaus,H33.piedPiping,H34.sncRelatives,H35.causative,H36.concessives,H37.conditional,H38.otherSubord,I39.preposn,I40.attrAdj,I41.predAdj,I42.ADV,J43.TTR,J44.wordLength,K45.conjuncts,K46.downtoners,K47.generalHedges,K48.amplifiers,K49.generalEmphatics,K50.discoursePart,K55.publicVerbs,K56.privateVerbs,K57.suasiveVerbs,K58.seemappear,L52.possibModals,L53.necessModals,L54.predicModals,N59.contractions,N60.thatDeletion,N61.strandedPrep,P66.syntNegn,P67.analNegn
0001a,0.59868,0.06579,0.00065,0.00258,0.00839,0.00065,0.00968,0.00839,0.04067,0.0,0.00065,0.0071,0.04003,0.14332,0.0,0.09211,0.00775,0.16447,0.02632,0.04605,0.0,0.01974,0.0,0.00258,0.14396,0.07101,0.0,0.04261,0.515,5.23241,0.10587,0.00258,0.0,0.00194,0.00065,0.00129,0.01316,0.06579,0.01316,0.0,0.05263,0.0,0.05263,0.125,0.07895,0.0,0.0,0.05921
0001b,0.29851,0.21642,0.0,0.0007,0.00632,0.0,0.01544,0.00351,0.04491,0.0,0.00281,0.01404,0.03158,0.15158,0.03731,0.17164,0.01123,0.21642,0.02239,0.03731,0.0,0.01493,0.03731,0.0007,0.12421,0.08561,0.00421,0.04351,0.445,5.06947,0.1214,0.00211,0.0,0.00281,0.00211,0.0007,0.01493,0.13433,0.0,0.0,0.10448,0.03731,0.03731,0.03731,0.14925,0.0,0.0,0.08209
0001c,0.55866,0.01676,0.00062,0.00371,0.00371,0.0,0.01915,0.01174,0.02224,0.0,0.00247,0.00741,0.03027,0.13156,0.01117,0.10056,0.01297,0.19553,0.01117,0.06704,0.0,0.02235,0.01117,0.00124,0.14639,0.0803,0.00062,0.05065,0.4525,5.23224,0.09944,0.00247,0.0,0.0,0.00371,0.00432,0.02235,0.0838,0.0,0.0,0.06145,0.0,0.04469,0.06145,0.10056,0.0,0.0,0.06704
0001d,0.29185,0.14163,0.0009,0.00494,0.00315,0.0,0.01888,0.00854,0.03461,0.00045,0.00539,0.01124,0.01888,0.14742,0.00858,0.12876,0.00944,0.26609,0.02575,0.03863,0.00858,0.01288,0.00858,0.0,0.1173,0.09079,0.0009,0.04854,0.45,5.1609,0.09393,0.00225,0.00045,0.00135,0.0,0.00674,0.01717,0.18026,0.01717,0.0,0.12017,0.00858,0.0515,0.08584,0.17167,0.0,0.0,0.18455
0001e,0.57592,0.04188,0.0,0.00436,0.00174,0.0,0.01481,0.00915,0.03876,0.0,0.00131,0.00828,0.02003,0.14808,0.01571,0.16754,0.00958,0.20419,0.0,0.04188,0.01047,0.03141,0.01047,0.00174,0.12674,0.10061,0.00218,0.05139,0.515,5.23301,0.08754,0.00218,0.0,0.00174,0.00174,0.00305,0.01047,0.08377,0.00524,0.0,0.03141,0.01047,0.03665,0.04188,0.09424,0.0,0.0,0.08377
0002a,0.52885,0.02885,0.00101,0.0,0.0,0.0,0.02637,0.00811,0.02079,0.00051,0.00101,0.00862,0.04108,0.14655,0.00962,0.15385,0.00913,0.28846,0.02885,0.03846,0.0,0.00481,0.00481,0.00456,0.13134,0.10649,0.00101,0.03499,0.54,5.57049,0.09533,0.00152,0.0,0.00051,0.00051,0.00152,0.01923,0.11058,0.00962,0.00481,0.05769,0.00481,0.04808,0.22115,0.12981,0.0,0.0,0.04327
0002b,0.53514,0.03784,0.0,0.00291,0.0,0.0,0.01221,0.00523,0.025,0.0,0.00058,0.00116,0.05174,0.125,0.01622,0.1027,0.0064,0.29189,0.02162,0.05405,0.00541,0.03784,0.00541,0.00174,0.14942,0.09767,0.00058,0.03547,0.545,5.48488,0.07616,0.00174,0.0,0.00174,0.0,0.00174,0.04324,0.06486,0.02703,0.0,0.03243,0.00541,0.00541,0.24324,0.12973,0.0,0.0,0.03784
0003c,0.60645,0.0129,0.00063,0.0057,0.00127,0.00063,0.01141,0.00507,0.01774,0.00127,0.0,0.00317,0.02725,0.1635,0.00645,0.05161,0.00951,0.19355,0.05806,0.07742,0.0,0.0,0.00645,0.00444,0.13878,0.08682,0.0,0.03612,0.595,5.52662,0.05006,0.00253,0.0,0.00127,0.00127,0.0019,0.03226,0.07097,0.01935,0.0,0.05161,0.00645,0.0,0.34839,0.10968,0.0,0.0,0.03226
0003d,0.61702,0.03191,0.00188,0.00565,0.00113,0.0,0.01696,0.00452,0.00829,0.0,0.00113,0.00377,0.02827,0.1127,0.01064,0.10106,0.01055,0.19149,0.02128,0.09574,0.0,0.01596,0.0,0.00528,0.13984,0.09989,0.00038,0.0441,0.585,5.83786,0.05013,0.00339,0.00038,0.00075,0.00075,0.00075,0.04787,0.06383,0.0266,0.01596,0.03191,0.01596,0.00532,0.55851,0.1117,0.0,0.0,0.04787
0003e,0.5989,0.03297,0.00148,0.00668,0.00297,0.00074,0.00965,0.00297,0.00928,0.00037,0.00074,0.00297,0.03859,0.09128,0.01648,0.04396,0.00668,0.18132,0.01648,0.06593,0.0,0.04396,0.0,0.0026,0.13135,0.08794,0.0,0.0308,0.599,5.88307,0.03711,0.00334,0.0,0.0,0.00074,0.0026,0.02198,0.17033,0.02198,0.01099,0.04396,0.01099,0.03846,0.52198,0.18681,0.0,0.00549,0.06044
