ID,"('AcademicTerms',)","('AcademicWritingMoves',)","('Character',)","('Citation',)","('CitationAuthority',)","('CitationHedged',)","('ConfidenceHedged',)","('ConfidenceHigh',)","('ConfidenceLow',)","('Contingent',)","('Description',)","('Facilitate',)","('FirstPerson',)","('ForceStressed',)","('Future',)","('InformationChange',)","('InformationChangeNegative',)","('InformationChangePositive',)","('InformationExposition',)","('InformationPlace',)","('InformationReportVerbs',)","('InformationStates',)","('InformationTopics',)","('Inquiry',)","('Interactive',)","('MetadiscourseCohesive',)","('MetadiscourseInteractive',)","('Narrative',)","('Negative',)","('Positive',)","('PublicTerms',)","('Reasoning',)","('Responsibility',)","('Strategic',)","('Uncertainty',)","('Updates',)","('X',)"
0001a,92,10,113,72,7,0,13,19,0,0,70,1,16,25,6,13,0,10,48,10,14,36,70,11,15,46,21,177,88,23,72,52,2,26,1,34,584
0001b,99,8,75,78,11,0,40,7,0,16,50,4,3,32,0,7,3,2,91,12,34,30,37,22,32,67,24,107,56,25,48,60,4,40,3,2,481
0001c,123,10,174,63,6,0,25,15,0,7,65,9,11,45,11,46,1,6,81,1,20,3,60,4,5,68,10,218,79,30,27,70,7,26,0,16,557
0001d,160,2,271,115,12,2,74,27,0,14,39,13,9,56,28,29,1,4,111,10,28,73,65,9,44,73,17,118,87,74,68,98,12,56,5,26,732
0001e,116,14,148,129,18,0,13,15,0,13,95,1,8,63,0,53,20,6,127,20,24,23,145,9,15,91,18,368,179,30,36,105,0,26,5,15,745
0002a,159,10,180,8,8,2,26,13,0,28,68,8,0,46,8,17,4,4,62,7,14,16,56,10,11,61,21,198,153,70,75,73,4,27,1,7,735
0002b,101,7,181,6,5,2,16,4,0,16,53,12,0,50,10,39,2,19,62,33,21,4,58,5,11,57,4,190,68,45,88,58,2,37,0,7,636
0003c,112,0,109,26,4,0,16,4,0,10,117,12,0,57,4,51,1,8,61,13,7,5,60,2,8,41,26,207,41,56,84,36,1,16,2,7,703
0003d,131,0,249,43,2,0,20,16,0,6,120,1,0,63,10,40,2,34,135,100,14,10,72,3,76,49,12,328,170,99,126,81,2,51,0,19,1389
0003e,94,0,247,66,2,0,25,8,0,14,131,4,0,42,24,27,3,26,131,178,17,3,30,6,93,57,18,368,146,84,160,56,8,62,4,22,1462
0003f,218,8,342,64,7,0,6,30,0,7,106,5,2,59,6,22,0,8,163,60,13,12,95,20,71,48,24,241,73,89,48,62,1,29,7,9,1275
0003g,314,8,158,30,0,0,52,27,0,14,83,11,3,70,10,34,0,13,194,9,21,21,60,14,17,101,22,212,90,41,59,80,3,38,1,2,1259
0003i,147,6,211,89,7,0,11,19,0,16,86,2,0,39,12,23,0,7,88,29,9,11,47,11,69,39,28,257,93,62,121,28,0,25,4,9,1112
0003j,133,4,224,53,0,0,38,37,0,16,71,2,4,54,43,16,0,4,148,19,24,34,44,15,73,54,33,148,114,114,184,53,16,36,4,7,1192
0003l,237,6,251,40,7,0,26,20,0,12,121,10,3,80,11,67,4,20,133,71,24,5,46,21,76,81,16,264,152,81,92,55,0,64,6,22,1335
0003p,66,5,197,50,0,0,14,6,0,4,88,9,2,47,16,14,0,5,32,2,4,2,37,0,17,39,2,209,117,62,66,35,5,48,2,5,662
0004a,156,7,175,21,19,0,11,12,0,12,57,11,0,29,10,6,2,6,39,16,9,17,38,15,8,45,2,150,77,52,39,37,3,19,1,0,655
0004b,306,17,177,61,23,0,16,1,0,16,49,11,9,43,14,36,0,5,106,9,24,39,38,15,47,91,16,101,114,43,53,106,10,50,2,9,760
0004c,298,2,363,57,12,0,31,25,0,11,128,13,0,83,24,37,1,9,148,11,45,60,76,15,21,119,11,194,138,191,112,113,2,143,3,29,1239
0005a,392,8,304,88,10,0,27,21,0,16,205,18,16,92,5,33,0,6,160,31,13,36,81,24,73,81,10,231,138,49,83,90,4,59,1,53,1250
