ID,"('ADJ',)","('ADP',)","('ADV',)","('AUX',)","('CCONJ',)","('DET',)","('INTJ',)","('NOUN',)","('NUM',)","('PART',)","('PRON',)","('PROPN',)","('PUNCT',)","('SCONJ',)","('SPACE',)","('SYM',)","('VERB',)","('X',)"
0001a,141,215,65,112,71,163,0,370,31,23,80,59,234,58,0,0,175,0
0001b,119,178,64,108,61,143,1,323,31,33,94,42,179,59,0,0,173,0
0001c,139,216,101,105,48,149,0,399,27,54,102,42,253,56,0,0,206,0
0001d,227,242,120,170,110,138,0,482,41,94,129,65,328,105,0,0,310,0
0001e,204,296,145,133,96,212,0,541,105,37,109,104,370,90,0,1,250,0
0002a,237,287,88,125,72,186,0,508,3,52,120,41,191,44,0,0,224,8
0002b,189,274,76,71,69,170,0,420,24,64,77,77,155,33,0,1,201,2
0003c,195,219,81,61,34,185,0,404,47,42,67,68,293,33,0,0,166,7
0003d,258,381,137,89,63,271,0,541,130,89,118,399,521,46,6,15,246,158
0003e,248,370,116,91,67,312,0,492,150,79,90,559,574,54,5,14,238,155
0003f,238,348,117,80,65,282,1,548,85,60,95,345,538,49,7,10,218,147
0003g,242,394,112,111,73,300,0,590,90,64,138,90,532,66,0,0,227,34
0003i,157,287,74,96,77,250,0,427,80,67,71,300,478,37,11,5,180,125
0003j,195,299,122,129,72,279,0,532,74,71,115,222,485,51,3,5,224,126
0003l,262,372,130,82,91,308,0,624,104,70,108,297,541,53,3,3,268,134
0003p,144,218,67,62,38,193,0,369,66,58,61,114,284,28,0,0,157,8
0004a,163,237,44,95,49,186,0,365,26,29,104,62,193,47,0,0,154,0
0004b,208,234,77,133,64,224,0,468,57,90,122,101,295,90,0,4,244,0
0004c,349,468,130,203,132,342,0,869,56,62,188,63,428,100,0,0,365,2
0005a,295,416,145,138,87,327,1,730,64,82,148,273,535,58,0,0,326,73
0005c,473,735,221,244,133,649,0,1234,129,158,285,749,1000,118,11,2,645,153
0010a,236,319,124,145,78,309,0,525,83,90,139,186,419,68,2,3,290,59
0010b,214,343,98,109,123,280,0,511,68,100,170,435,533,44,1,3,271,111
0010c,425,682,222,256,256,493,2,1162,176,138,164,519,771,127,6,18,470,168
0010d,305,343,143,144,129,255,0,653,71,88,172,289,550,74,1,12,310,112
0010e,227,285,102,123,69,213,0,484,49,76,127,105,362,76,0,3,250,4
0012a,215,279,79,81,87,244,1,445,68,42,87,237,298,54,0,9,197,41
0012b,120,198,75,48,52,128,0,278,15,50,106,173,204,34,0,0,167,44
0012d,557,618,188,204,194,473,0,1082,136,126,189,501,689,133,0,12,504,94
0013a,165,278,95,132,61,279,1,437,50,48,108,284,380,62,0,0,223,108
0013b,469,683,148,258,184,623,0,967,103,133,220,885,910,112,6,3,496,175
0013c,140,261,52,81,49,187,1,342,43,52,101,320,418,48,12,2,197,100
0013d,191,347,80,117,122,250,0,586,96,75,108,265,354,49,0,5,259,87
0015a,148,249,71,107,69,263,1,377,66,32,78,270,254,49,2,1,207,64
0015b,177,269,112,124,100,278,0,568,100,79,105,316,360,58,2,2,300,79
0019a,198,312,107,129,77,287,0,467,22,71,121,215,328,58,1,0,213,64
0019b,274,334,94,121,89,253,0,509,41,65,95,202,394,35,2,6,192,54
0019c,150,267,62,96,79,308,0,381,38,41,93,199,309,44,0,3,168,57
0019d,203,313,101,146,102,278,0,559,63,129,160,273,501,93,2,8,261,62
0019e,214,395,89,141,86,291,2,499,98,110,196,383,456,99,0,7,248,59
0019f,181,339,98,108,99,313,0,456,39,50,84,192,334,40,2,2,209,54
0019g,242,360,84,108,119,287,1,515,55,44,140,269,416,49,1,4,213,63
0019h,183,346,96,103,106,280,0,604,59,55,124,181,433,56,2,4,219,64
0019i,164,306,111,128,68,293,0,452,26,80,95,194,380,55,0,1,208,54
0019j,285,412,89,99,127,374,0,558,98,65,88,429,462,31,1,20,254,67
0026b,123,140,106,156,51,153,1,265,38,75,156,29,165,59,0,1,182,20
0029a,166,202,114,97,64,212,0,328,38,42,66,125,232,32,0,1,170,39
0029b,378,664,281,266,145,764,0,1073,150,155,301,582,724,148,0,8,553,142
0029e,234,243,104,133,68,235,0,378,45,41,88,224,392,44,3,1,214,72
0029f,214,294,134,146,53,199,0,455,47,88,153,218,327,59,0,4,207,53
0029h,172,304,125,105,62,263,1,421,39,65,116,244,285,39,1,0,242,72
0029i,519,702,301,328,180,663,0,1039,144,177,344,640,810,150,4,2,546,186
0029j,228,357,141,108,89,235,0,475,57,76,146,225,304,48,3,1,225,75
0029k,268,321,137,155,90,275,0,477,71,92,168,304,419,68,1,7,265,65
0029o,210,361,122,144,93,340,1,499,74,62,124,297,329,77,1,1,249,52
0030a,202,321,119,143,89,278,0,543,123,71,87,273,435,47,0,18,246,121
0030b,246,337,95,98,99,269,0,568,83,62,84,331,500,41,0,3,243,143
0034a,232,307,101,137,62,239,0,536,48,80,79,304,294,56,4,3,280,60
0034b,167,203,61,111,69,158,0,431,24,66,101,172,251,50,0,0,239,35
0034c,328,424,116,208,98,330,0,745,57,114,154,328,418,76,0,2,423,69
0034d,157,229,71,100,55,181,0,396,41,66,89,305,229,44,6,4,216,50
0034e,319,398,85,152,102,299,0,575,83,100,114,459,348,69,10,3,332,74
0038a,163,321,105,232,59,219,0,429,12,91,223,102,273,80,0,2,304,5
0038c,218,375,84,125,71,274,1,610,8,101,153,107,248,52,1,0,235,4
0039a,229,299,142,90,67,244,0,455,51,51,64,257,430,29,0,7,195,88
0039d,156,250,111,91,83,211,0,418,51,62,100,211,334,45,0,2,244,70
0039e,249,248,94,73,92,215,0,434,68,46,55,201,370,30,0,7,164,77
0039f,495,697,296,294,184,508,5,1367,167,200,420,673,1257,182,0,22,635,249
0040a,342,424,146,112,130,322,0,636,39,54,147,165,263,41,1,4,256,47
0040b,495,870,256,364,238,575,0,1277,300,158,276,787,964,149,2,18,522,175
0040c,777,1322,466,683,401,1290,1,2045,432,403,609,1417,1853,285,11,27,1080,465
0040e,322,529,153,187,181,419,1,801,193,114,231,689,721,52,4,14,348,105
0042a,183,320,94,57,83,214,0,401,72,38,80,323,292,33,0,2,170,52
0042b,107,181,59,47,48,138,0,216,35,27,46,257,149,20,2,4,103,29
0042c,204,341,109,161,85,234,2,548,103,72,180,359,522,69,3,3,244,110
0042d,254,318,89,111,90,251,0,492,112,70,94,394,545,51,4,10,268,89
