Feature,FCA Coef.,PCA Coef.,FA Coef.,Abs FCA Coef.,Abs PCA Coef.,Abs FA Coef.
"('AcademicTerms',)",0.17629744821368598,0.0398820350511937,0.15949431955122192,0.17629744821368598,0.0398820350511937,0.15949431955122192
"('AcademicWritingMoves',)",0.03831546446837395,0.009939608663920328,0.03800366702687996,0.03831546446837395,0.009939608663920328,0.03800366702687996
"('Character',)",-0.23530227502132875,-0.005887591634663965,0.07905401289303024,0.23530227502132875,0.005887591634663965,0.07905401289303024
"('Citation',)",0.07932278751951895,0.019482553838577547,0.12216904646902597,0.07932278751951895,0.019482553838577547,0.12216904646902597
"('CitationAuthority',)",0.006676362352070378,-0.013826228061979761,0.06892808293927388,0.006676362352070378,0.013826228061979761,0.06892808293927388
"('CitationHedged',)",-0.01623333388802184,0.06570940677032598,0.11017250354142255,0.01623333388802184,0.06570940677032598,0.11017250354142255
"('ConfidenceHedged',)",0.10263262409337447,0.06729823747555347,0.11765513134417306,0.10263262409337447,0.06729823747555347,0.11765513134417306
"('ConfidenceHigh',)",-0.11625646124444979,-0.004781379838145164,0.008221614439329401,0.11625646124444979,0.004781379838145164,0.008221614439329401
"('ConfidenceLow',)",-0.03238684102978962,-0.010048395852656735,-0.03455109223764857,0.03238684102978962,0.010048395852656735,0.03455109223764857
"('Contingent',)",0.06340518831493379,0.006675655792808981,-0.024224789607257574,0.06340518831493379,0.006675655792808981,0.024224789607257574
"('Description',)",-0.045034657500722455,0.04972320829694443,0.13712786500607757,0.045034657500722455,0.04972320829694443,0.13712786500607757
"('Facilitate',)",0.037758852218903655,0.032852024649609644,0.1006009930857788,0.037758852218903655,0.032852024649609644,0.1006009930857788
"('FirstPerson',)",0.07679484922618583,0.05757490993619431,0.08188278003754568,0.07679484922618583,0.05757490993619431,0.08188278003754568
"('ForceStressed',)",-0.062038331072851366,-0.0077941006572310526,0.017605894692272167,0.062038331072851366,0.0077941006572310526,0.017605894692272167
"('Future',)",-0.01319500427038179,-0.038533110296655106,-0.02885383109132895,0.01319500427038179,0.038533110296655106,0.02885383109132895
"('InformationChange',)",-0.0027662843190722256,-0.012292265379039095,0.03559637924955937,0.0027662843190722256,0.012292265379039095,0.03559637924955937
"('InformationChangeNegative',)",0.035557835279921395,-0.006153805075618211,-0.0003179404464445628,0.035557835279921395,0.006153805075618211,0.0003179404464445628
"('InformationChangePositive',)",0.023886044589537123,-0.0009924338802637892,0.05220362221929981,0.023886044589537123,0.0009924338802637892,0.05220362221929981
"('InformationExposition',)",0.07225876895625351,0.02765775031874016,0.17324681151632182,0.07225876895625351,0.02765775031874016,0.17324681151632182
"('InformationPlace',)",-0.28032098777022185,-0.03518858218293039,0.0014673253142371556,0.28032098777022185,0.03518858218293039,0.0014673253142371556
"('InformationReportVerbs',)",-0.04565092462575056,0.024343691478382758,0.09754329181567342,0.04565092462575056,0.024343691478382758,0.09754329181567342
"('InformationStates',)",-0.02285701589801858,0.006071225479573283,0.029193047513791318,0.02285701589801858,0.006071225479573283,0.029193047513791318
"('InformationTopics',)",0.003569447003493656,-0.016876579252446462,0.02902050015580443,0.003569447003493656,0.016876579252446462,0.02902050015580443
"('Inquiry',)",0.218087796315023,0.04858356866785733,0.1393722782469143,0.218087796315023,0.04858356866785733,0.1393722782469143
"('Interactive',)",-0.02774947986814706,0.008795560915809748,0.09509196861529574,0.02774947986814706,0.008795560915809748,0.09509196861529574
"('MetadiscourseCohesive',)",-0.14718341626156786,-0.011006486044821167,0.048337397651307824,0.14718341626156786,0.011006486044821167,0.048337397651307824
"('MetadiscourseInteractive',)",0.05239832049025184,0.024220811362200757,0.11451453014857882,0.05239832049025184,0.024220811362200757,0.11451453014857882
"('Narrative',)",-0.0506618763149958,-0.02056170582168006,0.03940647295750316,0.0506618763149958,0.02056170582168006,0.03940647295750316
"('Negative',)",-0.18657636463011096,-0.03656317952415325,-0.009160660355515535,0.18657636463011096,0.03656317952415325,0.009160660355515535
"('Positive',)",-0.07700490126786906,-0.022864074135723174,0.006987651650373614,0.07700490126786906,0.022864074135723174,0.006987651650373614
"('PublicTerms',)",-0.3297344392347812,-0.045157659138015074,-0.008467075421987227,0.3297344392347812,0.045157659138015074,0.008467075421987227
"('Reasoning',)",-0.052462525885046817,-0.017076409830486687,0.056206389815665,0.052462525885046817,0.017076409830486687,0.056206389815665
"('Responsibility',)",-0.09688828039975618,-0.033769415333266835,-0.05474262205623391,0.09688828039975618,0.033769415333266835,0.05474262205623391
"('Strategic',)",-0.03571239074012011,-0.04557951366893309,-0.018139075363485385,0.03571239074012011,0.04557951366893309,0.018139075363485385
"('Uncertainty',)",0.05624424793236826,0.048837250208670135,0.045253385049484424,0.05624424793236826,0.048837250208670135,0.045253385049484424
"('Updates',)",0.012421031815161382,-0.0019247984700698079,0.07150317579969716,0.012421031815161382,0.0019247984700698079,0.07150317579969716
"('X',)",-0.002995258941707237,0.008758366177468035,0.13089461867987237,0.002995258941707237,0.008758366177468035,0.13089461867987237
A01.pastVerbs,-0.1166966927989391,-0.056258516492842185,-0.08726472796279813,0.1166966927989391,0.056258516492842185,0.08726472796279813
A03.presVerbs,-0.036349744792761006,0.04882056745999897,0.10110205300258762,0.036349744792761006,0.04882056745999897,0.10110205300258762
B04.placeAdverbials,0.000217742641925851,0.05583199236526781,0.054760936982664585,0.000217742641925851,0.05583199236526781,0.054760936982664585
B05.timeAdverbials,0.09277076391075283,0.017699606535839504,0.06712859448139269,0.09277076391075283,0.017699606535839504,0.06712859448139269
C06.1persProns,-0.04901677911585987,0.05962505962511505,0.056477740312460126,0.04901677911585987,0.05962505962511505,0.056477740312460126
C07.2persProns,-0.058079811797939716,-0.015096604245989692,-0.03282834545920521,0.058079811797939716,0.015096604245989692,0.03282834545920521
C08.3persProns,-0.051366293546715604,-0.026790841057448125,-0.02701980312662656,0.051366293546715604,0.026790841057448125,0.02701980312662656
C09.impersProns,-0.07246114992424735,-0.06694815617429514,-0.1586216777995776,0.07246114992424735,0.06694815617429514,0.1586216777995776
C10.demonstrProns,0.07904604065912828,-0.026782101402916546,-0.05845665546217064,0.07904604065912828,0.026782101402916546,0.05845665546217064
C11.indefProns,-0.11286276024590411,0.025449834698760547,-0.0023083447574038934,0.11286276024590411,0.025449834698760547,0.0023083447574038934
C12.doAsProVerb,0.02363018612981772,-0.03077848239881164,-0.033239144358289674,0.02363018612981772,0.03077848239881164,0.033239144358289674
D13.whQuestions,0.004818030803836752,-0.01958659867090749,-0.04074297009309143,0.004818030803836752,0.01958659867090749,0.04074297009309143
E14.nominalizations,-0.1542209781936483,-0.01239811138433642,-0.028336389960057405,0.1542209781936483,0.01239811138433642,0.028336389960057405
E16.Nouns,-0.03838490567260142,0.008070729127805877,-0.009829016986636815,0.03838490567260142,0.008070729127805877,0.009829016986636815
F18.BYpassives,-0.017227580233065188,-0.018991696294421094,0.006606967499461838,0.017227580233065188,0.018991696294421094,0.006606967499461838
G19.beAsMain,-0.11097162976141627,-0.0981835044875824,-0.30401722979658385,0.11097162976141627,0.0981835044875824,0.30401722979658385
H23.WHclauses,0.0005280835292806938,-0.015219332615469984,-0.02165251611276109,0.0005280835292806938,0.015219332615469984,0.02165251611276109
H25.presPartClaus,0.11977631475148454,0.06098428934616196,0.10592017289657771,0.11977631475148454,0.06098428934616196,0.10592017289657771
H33.piedPiping,-0.01203585620147547,0.02891343156828558,0.04246796892258663,0.01203585620147547,0.02891343156828558,0.04246796892258663
H34.sncRelatives,0.004935200955666209,-0.007493560926658607,-0.0005317733540496639,0.004935200955666209,0.007493560926658607,0.0005317733540496639
H35.causative,-0.09651507544558499,-0.07500944387084818,-0.11888584011731622,0.09651507544558499,0.07500944387084818,0.11888584011731622
H36.concessives,-0.015223167677649295,-0.03620248563466775,-0.044259637130917316,0.015223167677649295,0.03620248563466775,0.044259637130917316
H37.conditional,-0.04555298353746355,-0.04082935423315821,-0.14588757987604645,0.04555298353746355,0.04082935423315821,0.14588757987604645
H38.otherSubord,-0.07723881881925809,-0.018530216330083445,0.03220459171873906,0.07723881881925809,0.018530216330083445,0.03220459171873906
I39.preposn,0.00452559061059713,0.01573683493158119,0.041918849476570826,0.00452559061059713,0.01573683493158119,0.041918849476570826
I40.attrAdj,-0.03363146404135575,-0.0038969739682286134,-0.018337101187891072,0.03363146404135575,0.0038969739682286134,0.018337101187891072
